2023-01-18 11:02:37.850 | DEBUG    | __main__:<module>:96 - 调试代码
2023-01-18 11:02:37.851 | INFO     | __main__:<module>:97 - 输出信息
2023-01-18 11:02:37.851 | SUCCESS  | __main__:<module>:98 - 输出成功
2023-01-18 11:02:37.852 | WARNING  | __main__:<module>:99 - 错误警告
2023-01-18 11:02:37.852 | ERROR    | __main__:<module>:100 - 代码错误
2023-01-18 11:02:37.852 | CRITICAL | __main__:<module>:101 - 崩溃输出
2023-01-18 11:02:37.852 | INFO     | __main__:<module>:109 - ----原始测试----
2023-01-18 11:04:33.107 | INFO     | __main__:<module>:11 - test
2023-01-18 11:12:40.625 | INFO     | KeyWords.keyword_web:open:55 - 访问的地址：https://pc.6noblexc.com/#/login
2023-01-18 11:12:40.691 | INFO     | KeyWords.keyword_web:input:80 - 正在输入的内容：zg0157
2023-01-18 11:12:40.795 | INFO     | KeyWords.keyword_web:input:80 - 正在输入的内容：123456
2023-01-18 11:12:40.843 | INFO     | KeyWords.keyword_web:click:85 - 正在点击：//*[@id="app"]/div/div[2]/div/div/div/div[1]/div[2]/div/div[2]/div[2]/div[1]/form/div[3]/label/span/span
2023-01-18 11:12:40.884 | INFO     | KeyWords.keyword_web:click:85 - 正在点击：//span[text()="登录"]
2023-01-18 11:12:42.892 | INFO     | KeyWords.keyword_web:wait:94 - 系统强制休眠2s
2023-01-18 11:14:20.674 | INFO     | KeyWords.keyword_web:open:55 - 访问的地址：http://static.6noblexc.net/pc/#/home
2023-01-18 11:14:20.731 | INFO     | KeyWords.keyword_web:input:80 - 正在输入的内容：zg0033
2023-01-18 11:14:20.782 | INFO     | KeyWords.keyword_web:input:80 - 正在输入的内容：123456
2023-01-18 11:14:20.815 | INFO     | KeyWords.keyword_web:click:85 - 正在点击：//*[@id="app"]/div/div[2]/div/div/div/div[1]/div[2]/div/div[2]/div[2]/div[1]/form/div[3]/label/span/span
2023-01-18 11:14:20.850 | INFO     | KeyWords.keyword_web:click:85 - 正在点击：//span[text()="登录"]
2023-01-18 11:14:22.858 | INFO     | KeyWords.keyword_web:wait:94 - 系统强制休眠2s
2023-01-18 11:14:22.907 | INFO     | KeyWords.keyword_web:click:85 - 正在点击：//*[@id="app"]/div/div[2]/div/div[2]/div/div[2]/div/div[1]/button/i
2023-01-18 11:14:23.919 | INFO     | KeyWords.keyword_web:wait:94 - 系统强制休眠1s
2023-01-18 11:14:24.923 | INFO     | KeyWords.keyword_web:wait:94 - 系统强制休眠1s
